StartTime	Step	Increase(Config)	Increase(sec)	Resulting Video Length	Last frame wait	Total filming time	First second filming time	Last second filming time
99	3	-1	0.33	11	5 sec	4.13 hours	39 min	4 min
99	4	-1	0.33	9	29 sec	3.80 hours	39 min	14 min
99	5	-1	0.33	7	43 sec	3.37 hours	39 min	20 min
99	6	-1	0.33	6	52 sec	3.00 hours	39 min	24 min
99	6	-2	0.66	6	5 sec	2.07 hours (124 min)	38 min	6 min
95	3	-1	0.33	11	1 sec	3.81 hours	38 min	2 min
95	4	-1	0.33	9	25 sec	3.56 hours	38 min	12 min
95	5	-1	0.33	7	39 sec	3.18 hours	38 min	18 min
95	6	-1	0.33	6	48 sec	2.84 hours (171 min)	38 min	23 min
95	6	-2	0.66	6	1 sec	1.91 hours (115 min)	36 min	4 min
90	3	-1	0.33	11	1 sec	3.42 hours	36 min	33 sec
90	4	-1	0.33	9	20 sec	3.26 hours	36 min	10 min
90	5	-1	0.33	7	34 sec	2.94 hours (177 min)	36 min	16 min
90	6	-1	0.33	6	43 sec	2.64 hours (159 min)	36 min	20 min
90	6	-2	0.66	5	1 sec	1.72 hours (103 min)	34 min	2 min
85	4	-1	0.33	9	15 sec	2.96 hours (178 min)	34 min	8 min
85	5	-1	0.33	7	29 sec	2.71 hours (162 min)	34 min	14 min
85	6	-1	0.33	6	38 sec	2.45 hours (147 min)	34 min	18 min
80	4	-1	0.33	9	10 sec	2.67 hours (160 min)	32 min	6 min
80	5	-1	0.33	7	24 sec	2.47 hours (148 min)	32 min	12 min
80	6	-1	0.33	6	33 sec	2.25 hours (135 min)	32 min	16 min
75	4	-1	0.33	9	5 sec	2.37 hours (142 min)	29 min	4 min
75	5	-1	0.33	7	19 sec	2.23 hours (134 min)	29 min	10 min
75	6	-1	0.33	6	28 sec	2.05 hours (123 min)	29 min	14 min
70	4	-1	0.33	8	1 sec	2.07 hours (124 min)	27 min	100 sec
70	5	-1	0.33	7	14 sec	1.99 hours (120 min)	27 min	7 min
70	6	-1	0.33	6	23 sec	1.85 hours (111 min)	27 min	12 min
65	5	-1	0.33	7	9 sec	1.76 hours (105 min)	25 min	5 min
65	6	-1	0.33	6	18 sec	1.65 hours (99 min)	25 min	10 min
60	5	-1	0.33	7	4 sec	1.52 hours (91 min)	23 min	3 min
60	6	-1	0.33	6	13 sec	1.45 hours (87 min)	23 min	7 min
55	5	-1	0.33	7	1 sec	1.28 hours (77 min)	21 min	73 sec
55	6	-1	0.33	6	8 sec	1.25 hours (75 min)	21 min	5 min
50	6	-1	0.33	6	3 sec	1.06 hours (63 min)	19 min	3 min
45	6	-1	0.33	5	1 sec	0.86 hours (52 min)	17 min	65 sec
