StartTime	Step	Increase(Config)	Increase(sec)	Resulting Video Length	Last frame wait	Total filming time	First second filming time	Last second filming time
1	3	+3	1.00	11	4.75 min	11.32 hours	6 min	118 min
1	3	+4	1.33	11	6.31 min	15.03 hours	8 min	157 min
1	3	+5	1.66	11	7.87 min	18.74 hours	9 min	196 min
1	3	+6	1.99	11	9.44 min	22.45 hours	11 min	235 min
1	4	+3	1.00	9	3.57 min	6.39 hours	6 min	87 min
1	4	+4	1.33	9	4.74 min	8.48 hours	8 min	116 min
1	4	+5	1.66	9	5.91 min	10.57 hours	9 min	145 min
1	4	+6	1.99	9	7.08 min	12.66 hours	11 min	173 min
1	4	+7	2.32	9	8.25 min	14.75 hours	13 min	202 min
1	4	+8	2.65	9	9.42 min	16.84 hours	15 min	231 min
1	4	+9	2.98	9	10.60 min	18.93 hours	17 min	259 min
1	4	+10	3.31	9	11.77 min	21.01 hours	18 min	288 min
1	4	+11	3.64	9	12.94 min	23.10 hours	20 min	317 min
1	5	+3	1.00	7	2.85 min	4.08 hours	6 min	66 min
1	5	+4	1.33	7	3.79 min	5.42 hours	8 min	88 min
1	5	+5	1.66	7	4.72 min	6.75 hours	9 min	110 min
1	5	+6	1.99	7	5.66 min	8.08 hours	11 min	131 min
1	5	+7	2.32	7	6.59 min	9.41 hours	13 min	153 min
1	5	+8	2.65	7	7.52 min	10.75 hours	15 min	175 min
1	5	+9	2.98	7	8.46 min	12.08 hours	17 min	197 min
1	5	+10	3.31	7	9.39 min	13.41 hours	18 min	218 min
1	5	+11	3.64	7	10.33 min	14.74 hours	20 min	240 min
1	5	+12	3.97	7	11.27 min	16.08 hours	22 min	262 min
1	5	+13	4.30	7	12.20 min	17.41 hours	24 min	283 min
1	5	+14	4.63	7	13.13 min	18.74 hours	25 min	305 min
1	5	+15	4.96	7	14.07 min	20.07 hours	27 min	327 min
1	5	+16	5.29	7	15.00 min	21.41 hours	29 min	349 min
1	5	+17	5.62	7	15.94 min	22.74 hours	31 min	370 min
1	6	+3	1.00	6	2.38 min	2.86 hours (172 min)	6 min	57 min
1	6	+4	1.33	6	3.16 min	3.79 hours	8 min	75 min
1	6	+5	1.66	6	3.95 min	4.72 hours	9 min	94 min
1	6	+6	1.99	6	4.73 min	5.65 hours	11 min	112 min
1	6	+7	2.32	6	5.51 min	6.58 hours	13 min	131 min
1	6	+8	2.65	6	6.29 min	7.51 hours	15 min	149 min
1	6	+9	2.98	6	7.07 min	8.44 hours	17 min	168 min
1	6	+10	3.31	6	7.85 min	9.37 hours	18 min	186 min
1	6	+11	3.64	6	8.63 min	10.31 hours	20 min	205 min
1	6	+12	3.97	6	9.41 min	11.24 hours	22 min	223 min
1	6	+13	4.30	6	10.19 min	12.17 hours	24 min	242 min
1	6	+14	4.63	6	10.97 min	13.10 hours	25 min	260 min
1	6	+15	4.96	6	11.76 min	14.03 hours	27 min	279 min
1	6	+16	5.29	6	12.54 min	14.96 hours	29 min	297 min
1	6	+17	5.62	6	13.32 min	15.89 hours	31 min	316 min
1	6	+18	5.95	6	14.10 min	16.82 hours	33 min	334 min
1	6	+19	6.28	6	14.88 min	17.75 hours	34 min	353 min
1	6	+20	6.61	6	15.66 min	18.68 hours	36 min	371 min
1	6	+21	6.94	6	16.44 min	19.61 hours	38 min	390 min
1	6	+22	7.27	6	17.22 min	20.54 hours	40 min	408 min
1	6	+23	7.60	6	18.00 min	21.47 hours	42 min	427 min
1	6	+24	7.93	6	18.78 min	22.40 hours	43 min	445 min
1	6	+25	8.26	6	19.57 min	23.34 hours	45 min	464 min
5	5	+15	5.00	7	14.25 min	20.43 hours	29 min	331 min
5	5	+16	5.33	7	15.19 min	21.76 hours	31 min	353 min
5	5	+17	5.66	7	16.12 min	23.09 hours	33 min	375 min
5	6	+15	5.00	6	11.92 min	14.30 hours	29 min	283 min
5	6	+16	5.33	6	12.70 min	15.23 hours	31 min	301 min
5	6	+17	5.66	6	13.48 min	16.16 hours	33 min	320 min
5	6	+18	5.99	6	14.26 min	17.09 hours	35 min	338 min
5	6	+19	6.32	6	15.04 min	18.02 hours	36 min	357 min
5	6	+20	6.65	6	15.82 min	18.95 hours	38 min	375 min
5	6	+21	6.98	6	16.60 min	19.88 hours	40 min	394 min
5	6	+22	7.31	6	17.38 min	20.81 hours	42 min	412 min
5	6	+23	7.64	6	18.16 min	21.75 hours	43 min	431 min
5	6	+24	7.97	6	18.95 min	22.68 hours	45 min	449 min
5	6	+25	8.30	6	19.73 min	23.61 hours	47 min	468 min
